param,F_AD_numeric,F_AD_analytical,purity_AD,F_PD_numeric,F_PD_analytical,purity_PD
0.000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000
0.100,0.974342,0.974342,0.955000,0.950000,0.950000,0.905000
0.200,0.947214,0.947214,0.920000,0.900000,0.900000,0.820000
0.300,0.918330,0.918330,0.895000,0.850000,0.850000,0.745000
0.400,0.887298,0.887298,0.880000,0.800000,0.800000,0.680000
0.500,0.853553,0.853553,0.875000,0.750000,0.750000,0.625000
0.600,0.816228,0.816228,0.880000,0.700000,0.700000,0.580000
0.700,0.773861,0.773861,0.895000,0.650000,0.650000,0.545000
0.800,0.723607,0.723607,0.920000,0.600000,0.600000,0.520000
0.900,0.658114,0.658114,0.955000,0.550000,0.550000,0.505000
1.000,0.500000,0.500000,1.000000,0.500000,0.500000,0.500000
